2024-11-27 05:41:54.89 | GuillaumeCharron | APP_v5.D.1.xlsb | ***** Début d'une nouvelle session (Workbook_Open) ***** |  | 31
2024-11-27 05:42:02.54 | GuillaumeCharron | APP_v5.D.1.xlsb | modDev_Utils:SetTabOrder | 0,1836 sec. | 31

2024-11-27 05:42:02.58 | GuillaumeCharron | APP_v5.D.1.xlsb | modFunctions:Fn_Complete_Date @00608   y = 2024   m = 11   d = 27 parsedDate='27/11/24' |  | 31
2024-11-27 05:42:02.62 | GuillaumeCharron | APP_v5.D.1.xlsb | wshDEB_Saisie:Worksheet_Activate | 2,4453 sec. | 31

2024-11-27 05:42:24.09 | GuillaumeCharron | APP_v5.D.1.xlsb | modFunctions:Fn_GetID_From_Client_Name - z_Adiministratif_Lecture |  | 31
2024-11-27 05:42:24.12 | GuillaumeCharron | APP_v5.D.1.xlsb | modFunctions:Fn_GetID_From_Client_Name - 1 | 0,0371 sec. | 31

2024-11-27 05:42:24.16 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Load_OS_Invoices |  | 31
2024-11-27 08:56:41.51 | GuillaumeCharron | APP_v5.D.1.xlsb | modFunctions:Fn_GetID_From_Client_Name - 9103-5147 Québec Inc. [Voyage ALM] |  | 31
2024-11-27 08:56:41.54 | GuillaumeCharron | APP_v5.D.1.xlsb | modFunctions:Fn_GetID_From_Client_Name - 1470 | 0,0352 sec. | 31

2024-11-27 08:56:41.70 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Load_OS_Invoices |  | 31
2024-11-27 08:56:43.15 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Saisie_Add_Check_Boxes |  | 31
2024-11-27 08:56:43.20 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Saisie_Add_Check_Boxes | 0,0527 sec. | 31

2024-11-27 08:56:43.22 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Enc:Encaissement_Load_Open_Invoices | 1,5254 sec. | 31

2024-11-27 08:56:49.13 | GuillaumeCharron | APP_v5.D.1.xlsb | modFunctions:Fn_Complete_Date @00608   y = 2024   m = 11   d = 19 parsedDate='19/11/24' |  | 31
2024-11-27 08:56:56.96 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Update |  | 31
2024-11-27 08:56:56.99 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_DB_Entete |  | 31
2024-11-27 08:56:57.37 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_DB_Entete | 0,3867 sec. | 31

2024-11-27 08:56:57.39 | GuillaumeCharron | APP_v5.D.1.xlsb | modDEB_Saisie:DEB_Trans_Add_Record_Locally |  | 31
2024-11-27 08:56:58.26 | GuillaumeCharron | APP_v5.D.1.xlsb | modDEB_Saisie:DEB_Trans_Add_Record_Locally | 0,8652 sec. | 31

2024-11-27 08:56:58.28 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_DB_Details |  | 31
2024-11-27 08:56:58.48 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_DB_Details | 0,2012 sec. | 31

2024-11-27 08:56:58.49 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_Locally_Details |  | 31
2024-11-27 08:56:59.07 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_Locally_Details | 0,5820 sec. | 31

2024-11-27 08:56:59.10 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_DB_Details |  | 31
2024-11-27 08:56:59.29 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_DB_Details | 0,1914 sec. | 31

2024-11-27 08:56:59.30 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_Locally_Details |  | 31
2024-11-27 08:56:59.67 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_Locally_Details | 0,3691 sec. | 31

2024-11-27 08:56:59.69 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_GL_Posting_DB |  | 31
2024-11-27 08:57:00.05 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_GL_Posting_DB | 0,3652 sec. | 31

2024-11-27 08:57:00.08 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_GL_Posting_Locally |  | 31
2024-11-27 08:57:02.10 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_GL_Posting_Locally | 2,0215 sec. | 31

2024-11-27 08:57:03.99 | GuillaumeCharron | APP_v5.D.1.xlsb | modEnc_Saisie:Encaissement_Add_New |  | 31
2024-11-27 08:57:04.01 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Clear_Cells |  | 31
2024-11-27 08:57:04.92 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Clear_Cells | 0,9121 sec. | 31

2024-11-27 08:57:04.94 | GuillaumeCharron | APP_v5.D.1.xlsb | modEnc_Saisie:Encaissement_Add_New | 0,9512 sec. | 31

2024-11-27 08:57:04.96 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Update | 8,0000 sec. | 31

2024-11-27 08:57:13.59 | GuillaumeCharron | APP_v5.D.1.xlsb | modFunctions:Fn_GetID_From_Client_Name - Bernard Ducharme Assurances Inc. [Yvan Malouin] |  | 31
2024-11-27 08:57:13.61 | GuillaumeCharron | APP_v5.D.1.xlsb | modFunctions:Fn_GetID_From_Client_Name - 1055 | 0,0215 sec. | 31

2024-11-27 08:57:13.77 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Load_OS_Invoices |  | 31
2024-11-27 08:57:15.61 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Saisie_Add_Check_Boxes |  | 31
2024-11-27 08:57:15.65 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Saisie_Add_Check_Boxes | 0,0430 sec. | 31

2024-11-27 08:57:15.66 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Enc:Encaissement_Load_Open_Invoices | 1,9004 sec. | 31

2024-11-27 08:57:20.07 | GuillaumeCharron | APP_v5.D.1.xlsb | modFunctions:Fn_Complete_Date @00608   y = 2024   m = 11   d = 19 parsedDate='19/11/24' |  | 31
2024-11-27 08:57:36.76 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Update |  | 31
2024-11-27 08:57:36.79 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_DB_Entete |  | 31
2024-11-27 08:57:37.10 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_DB_Entete | 0,3145 sec. | 31

2024-11-27 08:57:37.12 | GuillaumeCharron | APP_v5.D.1.xlsb | modDEB_Saisie:DEB_Trans_Add_Record_Locally |  | 31
2024-11-27 08:57:37.88 | GuillaumeCharron | APP_v5.D.1.xlsb | modDEB_Saisie:DEB_Trans_Add_Record_Locally | 0,7598 sec. | 31

2024-11-27 08:57:37.89 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_DB_Details |  | 31
2024-11-27 08:57:38.06 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_DB_Details | 0,1660 sec. | 31

2024-11-27 08:57:38.08 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_Locally_Details |  | 31
2024-11-27 08:57:38.63 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_Locally_Details | 0,5566 sec. | 31

2024-11-27 08:57:38.65 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_DB_Details |  | 31
2024-11-27 08:57:38.84 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_DB_Details | 0,1855 sec. | 31

2024-11-27 08:57:38.86 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_Locally_Details |  | 31
2024-11-27 08:57:39.20 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_Locally_Details | 0,3398 sec. | 31

2024-11-27 08:57:39.22 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_GL_Posting_DB |  | 31
2024-11-27 08:57:39.58 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_GL_Posting_DB | 0,3652 sec. | 31

2024-11-27 08:57:39.60 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_GL_Posting_Locally |  | 31
2024-11-27 08:57:41.49 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_GL_Posting_Locally | 1,8906 sec. | 31

2024-11-27 08:57:42.45 | GuillaumeCharron | APP_v5.D.1.xlsb | modEnc_Saisie:Encaissement_Add_New |  | 31
2024-11-27 08:57:42.47 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Clear_Cells |  | 31
2024-11-27 08:57:43.39 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Clear_Cells | 0,9238 sec. | 31

2024-11-27 08:57:43.41 | GuillaumeCharron | APP_v5.D.1.xlsb | modEnc_Saisie:Encaissement_Add_New | 0,9648 sec. | 31

2024-11-27 08:57:43.43 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Update | 6,6699 sec. | 31

2024-11-27 08:57:49.80 | GuillaumeCharron | APP_v5.D.1.xlsb | modFunctions:Fn_GetID_From_Client_Name - Centre Canin Laka Inc. [Nicolas Desflammes] |  | 31
2024-11-27 08:57:49.82 | GuillaumeCharron | APP_v5.D.1.xlsb | modFunctions:Fn_GetID_From_Client_Name - 1744 | 0,0234 sec. | 31

2024-11-27 08:57:49.97 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Load_OS_Invoices |  | 31
2024-11-27 08:57:51.40 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Saisie_Add_Check_Boxes |  | 31
2024-11-27 08:57:51.45 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Saisie_Add_Check_Boxes | 0,0410 sec. | 31

2024-11-27 08:57:51.46 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Enc:Encaissement_Load_Open_Invoices | 1,4961 sec. | 31

2024-11-27 08:57:55.57 | GuillaumeCharron | APP_v5.D.1.xlsb | modFunctions:Fn_Complete_Date @00608   y = 2024   m = 11   d = 19 parsedDate='19/11/24' |  | 31
2024-11-27 08:58:07.75 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Update |  | 31
2024-11-27 08:58:07.77 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_DB_Entete |  | 31
2024-11-27 08:58:08.07 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_DB_Entete | 0,2949 sec. | 31

2024-11-27 08:58:08.09 | GuillaumeCharron | APP_v5.D.1.xlsb | modDEB_Saisie:DEB_Trans_Add_Record_Locally |  | 31
2024-11-27 08:58:08.98 | GuillaumeCharron | APP_v5.D.1.xlsb | modDEB_Saisie:DEB_Trans_Add_Record_Locally | 0,8984 sec. | 31

2024-11-27 08:58:09.00 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_DB_Details |  | 31
2024-11-27 08:58:09.18 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_DB_Details | 0,1758 sec. | 31

2024-11-27 08:58:09.19 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_Locally_Details |  | 31
2024-11-27 08:58:09.87 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_Locally_Details | 0,6758 sec. | 31

2024-11-27 08:58:09.89 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_DB_Details |  | 31
2024-11-27 08:58:10.07 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_DB_Details | 0,1855 sec. | 31

2024-11-27 08:58:10.09 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_Locally_Details |  | 31
2024-11-27 08:58:10.50 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_Locally_Details | 0,4082 sec. | 31

2024-11-27 08:58:10.52 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_GL_Posting_DB |  | 31
2024-11-27 08:58:10.90 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_GL_Posting_DB | 0,3789 sec. | 31

2024-11-27 08:58:10.91 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_GL_Posting_Locally |  | 31
2024-11-27 08:58:13.05 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_GL_Posting_Locally | 2,1406 sec. | 31

2024-11-27 08:58:14.62 | GuillaumeCharron | APP_v5.D.1.xlsb | modEnc_Saisie:Encaissement_Add_New |  | 31
2024-11-27 08:58:14.64 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Clear_Cells |  | 31
2024-11-27 08:58:15.55 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Clear_Cells | 0,9141 sec. | 31

2024-11-27 08:58:15.57 | GuillaumeCharron | APP_v5.D.1.xlsb | modEnc_Saisie:Encaissement_Add_New | 0,9551 sec. | 31

2024-11-27 08:58:15.59 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Update | 7,8418 sec. | 31

2024-11-27 08:58:28.74 | GuillaumeCharron | APP_v5.D.1.xlsb | modFunctions:Fn_GetID_From_Client_Name - Fiducie Familiale Camirand-Villeneuve 2019 [Céline Camirand] |  | 31
2024-11-27 08:58:28.77 | GuillaumeCharron | APP_v5.D.1.xlsb | modFunctions:Fn_GetID_From_Client_Name - 1430b | 0,0254 sec. | 31

2024-11-27 08:58:28.91 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Load_OS_Invoices |  | 31
2024-11-27 08:58:30.66 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Saisie_Add_Check_Boxes |  | 31
2024-11-27 08:58:30.70 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Saisie_Add_Check_Boxes | 0,0391 sec. | 31

2024-11-27 08:58:30.72 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Enc:Encaissement_Load_Open_Invoices | 1,8047 sec. | 31

2024-11-27 08:58:34.36 | GuillaumeCharron | APP_v5.D.1.xlsb | modFunctions:Fn_Complete_Date @00608   y = 2024   m = 11   d = 19 parsedDate='19/11/24' |  | 31
2024-11-27 08:58:52.52 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Update |  | 31
2024-11-27 08:58:52.55 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_DB_Entete |  | 31
2024-11-27 08:58:52.87 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_DB_Entete | 0,3223 sec. | 31

2024-11-27 08:58:52.89 | GuillaumeCharron | APP_v5.D.1.xlsb | modDEB_Saisie:DEB_Trans_Add_Record_Locally |  | 31
2024-11-27 08:58:53.75 | GuillaumeCharron | APP_v5.D.1.xlsb | modDEB_Saisie:DEB_Trans_Add_Record_Locally | 0,8672 sec. | 31

2024-11-27 08:58:53.77 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_DB_Details |  | 31
2024-11-27 08:58:53.95 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_DB_Details | 0,1738 sec. | 31

2024-11-27 08:58:53.97 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_Locally_Details |  | 31
2024-11-27 08:58:54.57 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_Locally_Details | 0,6035 sec. | 31

2024-11-27 08:58:54.59 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_DB_Details |  | 31
2024-11-27 08:58:54.76 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_DB_Details | 0,1680 sec. | 31

2024-11-27 08:58:54.78 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_Locally_Details |  | 31
2024-11-27 08:58:55.18 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_Locally_Details | 0,4062 sec. | 31

2024-11-27 08:58:55.20 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_GL_Posting_DB |  | 31
2024-11-27 08:58:55.59 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_GL_Posting_DB | 0,3945 sec. | 31

2024-11-27 08:58:55.61 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_GL_Posting_Locally |  | 31
2024-11-27 08:58:57.73 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_GL_Posting_Locally | 2,1250 sec. | 31

2024-11-27 08:58:59.62 | GuillaumeCharron | APP_v5.D.1.xlsb | modEnc_Saisie:Encaissement_Add_New |  | 31
2024-11-27 08:58:59.64 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Clear_Cells |  | 31
2024-11-27 08:59:00.49 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Clear_Cells | 0,8535 sec. | 31

2024-11-27 08:59:00.51 | GuillaumeCharron | APP_v5.D.1.xlsb | modEnc_Saisie:Encaissement_Add_New | 0,8965 sec. | 31

2024-11-27 08:59:00.53 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Update | 8,0098 sec. | 31

2024-11-27 08:59:05.39 | GuillaumeCharron | APP_v5.D.1.xlsb | modFunctions:Fn_GetID_From_Client_Name - Librairie Lu-Lu Inc. [Émilie Arcand-Dubois] |  | 31
2024-11-27 08:59:05.42 | GuillaumeCharron | APP_v5.D.1.xlsb | modFunctions:Fn_GetID_From_Client_Name - 1430 | 0,0254 sec. | 31

2024-11-27 08:59:05.55 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Load_OS_Invoices |  | 31
2024-11-27 08:59:08.50 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Saisie_Add_Check_Boxes |  | 31
2024-11-27 08:59:08.56 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Saisie_Add_Check_Boxes | 0,0625 sec. | 31

2024-11-27 08:59:08.58 | GuillaumeCharron | APP_v5.D.1.xlsb | modFAC_Enc:Encaissement_Load_Open_Invoices | 3,0293 sec. | 31

2024-11-27 08:59:16.31 | GuillaumeCharron | APP_v5.D.1.xlsb | modFunctions:Fn_Complete_Date @00608   y = 2024   m = 11   d = 19 parsedDate='19/11/24' |  | 31
2024-11-27 08:59:24.39 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Update |  | 31
2024-11-27 08:59:24.41 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_DB_Entete |  | 31
2024-11-27 08:59:24.74 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_DB_Entete | 0,3301 sec. | 31

2024-11-27 08:59:24.76 | GuillaumeCharron | APP_v5.D.1.xlsb | modDEB_Saisie:DEB_Trans_Add_Record_Locally |  | 31
2024-11-27 08:59:25.70 | GuillaumeCharron | APP_v5.D.1.xlsb | modDEB_Saisie:DEB_Trans_Add_Record_Locally | 0,9531 sec. | 31

2024-11-27 08:59:25.73 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_DB_Details |  | 31
2024-11-27 08:59:25.91 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_DB_Details | 0,1836 sec. | 31

2024-11-27 08:59:25.93 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_Locally_Details |  | 31
2024-11-27 08:59:26.54 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_Locally_Details | 0,6094 sec. | 31

2024-11-27 08:59:26.56 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_DB_Details |  | 31
2024-11-27 08:59:26.74 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_DB_Details | 0,1855 sec. | 31

2024-11-27 08:59:26.76 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_Locally_Details |  | 31
2024-11-27 08:59:27.35 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Add_Locally_Details | 0,5938 sec. | 31

2024-11-27 08:59:27.38 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_GL_Posting_DB |  | 31
2024-11-27 08:59:27.75 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_GL_Posting_DB | 0,3691 sec. | 31

2024-11-27 08:59:27.76 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_GL_Posting_Locally |  | 31
2024-11-27 08:59:29.81 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_GL_Posting_Locally | 2,0449 sec. | 31

2024-11-27 08:59:31.27 | GuillaumeCharron | APP_v5.D.1.xlsb | modEnc_Saisie:Encaissement_Add_New |  | 31
2024-11-27 08:59:31.29 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Clear_Cells |  | 31
2024-11-27 08:59:32.21 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Clear_Cells | 0,9219 sec. | 31

2024-11-27 08:59:32.23 | GuillaumeCharron | APP_v5.D.1.xlsb | modEnc_Saisie:Encaissement_Add_New | 0,9609 sec. | 31

2024-11-27 08:59:32.25 | GuillaumeCharron | APP_v5.D.1.xlsb | modENC_Saisie:ENC_Update | 7,8594 sec. | 31

2024-11-27 08:59:37.56 | GuillaumeCharron | APP_v5.D.1.xlsb | modFunctions:Fn_GetID_From_Client_Name - Arthur Malouin Ltée [Yvan Malouin] |  | 31
